Day,Reach,Impressions,Frequency,Amount Spent (USD),Visitation,Add_to_Cart,Conversion
12/5/2020,1218456,1773441,1.46,9059,4642,279,134
12/6/2020,1219485,1798712,1.47,8979,4490,316,166
12/7/2020,1201577,1797943,1.5,9005,4234,333,165
12/8/2020,1208738,1783367,1.48,8851,4387,308,148
12/9/2020,1162340,1721553,1.48,8818,3921,288,145
12/10/2020,1196955,1762816,1.47,9061,4091,280,148
12/11/2020,1155742,1698104,1.47,8983,3763,267,147
12/12/2020,1186715,1731520,1.46,8980,3873,261,137
12/13/2020,1241244,1829688,1.47,8939,3846,360,175
12/14/2020,1207117,1790465,1.48,8787,3456,394,181
12/15/2020,1159068,1724444,1.49,8835,3343,353,173
12/16/2020,1199261,1759933,1.47,9030,3332,371,167
12/17/2020,1135929,1674399,1.47,8837,3320,357,176
12/18/2020,1097627,1628281,1.48,8948,3054,305,142
12/19/2020,1061787,1542241,1.45,7805,2843,259,109
12/20/2020,1073305,1597174,1.49,7679,2809,289,134
12/21/2020,1119135,1646162,1.47,7662,2811,260,128
12/22/2020,1101209,1615098,1.47,7626,2712,233,98
12/23/2020,1103004,1605204,1.46,7574,2613,166,75
12/24/2020,1131417,1625071,1.44,7550,2672,141,64
12/25/2020,1336738,2002869,1.5,8026,3107,225,111
12/26/2020,1322926,1980523,1.5,8220,3069,257,115
12/27/2020,1363876,2134653,1.57,8594,3366,283,116
12/28/2020,1365981,2106901,1.54,8569,3282,269,111
12/29/2020,1333478,2071551,1.55,8558,3255,209,87
12/30/2020,1509276,2329352,1.54,9686,3557,185,86
12/31/2020,1594268,2432840,1.53,9613,3754,124,61
1/1/2021,1950621,3175211,1.63,9627,5251,256,124
1/2/2021,1943967,3145183,1.62,9558,5269,302,147
1/3/2021,1944474,3278831,1.69,9732,5522,349,159
1/4/2021,1562770,2359278,1.51,7278,3960,280,134
1/5/2021,1864111,2930819,1.57,9777,6708,324,146
1/6/2021,2027991,3355796,1.65,10177,7664,346,158
1/7/2021,2002186,3430109,1.71,9891,7153,377,163
1/8/2021,1617305,2537437,1.57,7557,5199,293,130
1/9/2021,1465794,2352835,1.61,6585,4800,219,101
1/10/2021,1581259,2548819,1.61,6932,4991,270,120
1/11/2021,1500586,2392867,1.59,6625,4305,269,114
1/12/2021,1440572,2282016,1.58,6723,4063,262,120
1/13/2021,1424535,2270948,1.59,6751,4122,231,102
1/14/2021,1378269,2185362,1.59,6750,3797,255,114
1/15/2021,1387927,2169834,1.56,6846,3853,205,98
1/16/2021,1439018,2216857,1.54,7019,3982,224,110
1/17/2021,1437338,2289080,1.59,6796,3899,241,115
1/18/2021,1469851,2304184,1.57,6743,3710,262,110
1/19/2021,1455871,2311261,1.59,6736,3728,267,128
1/20/2021,1520788,2434852,1.6,6818,4003,293,121
1/21/2021,1397043,2176260,1.56,6647,3575,272,128
1/22/2021,1353616,2143254,1.58,6867,3680,272,128
1/23/2021,1338008,2094200,1.57,6817,3685,256,111
1/24/2021,1380269,2141076,1.55,6792,3697,288,138
1/25/2021,1319841,2081497,1.58,6697,3545,290,136
1/26/2021,1264535,1969950,1.56,6721,3424,248,117
1/27/2021,1251860,1948326,1.56,6892,3435,210,105
1/28/2021,1247126,1931842,1.55,6940,3266,245,122
1/29/2021,1271195,1934989,1.52,7053,3150,249,119
1/30/2021,1325470,2017217,1.52,7109,3349,242,114
1/31/2021,1410461,2133841,1.51,7051,3532,289,144
2/1/2021,1436054,2219928,1.55,6969,3775,320,141
2/2/2021,1345935,2037818,1.51,6706,3323,261,110
2/3/2021,1300251,1988367,1.53,6605,3176,274,113
2/4/2021,1284507,1964424,1.53,6623,3034,252,101
2/5/2021,1271184,1915394,1.51,6663,3086,253,122
2/6/2021,1280407,1922021,1.5,6747,3075,243,121
2/7/2021,1334685,1985505,1.49,6713,3249,258,117
2/8/2021,1345431,2014619,1.5,6617,3187,279,129
2/9/2021,1292605,1940669,1.5,6563,3156,241,120
2/10/2021,1285291,1928844,1.5,6560,3076,224,104
2/11/2021,1283097,1948939,1.52,6724,3030,198,92
2/12/2021,1318300,2000587,1.52,7044,3007,225,121
2/13/2021,1353371,2072384,1.53,7152,3253,190,91
2/14/2021,1496220,2285465,1.53,7191,3387,217,92
2/15/2021,1502108,2272737,1.51,7103,3527,227,100
2/16/2021,1494940,2279209,1.52,7249,3627,227,111
2/17/2021,1483673,2269357,1.53,7451,3394,247,110
2/18/2021,1540644,2370591,1.54,7617,3550,269,129
2/19/2021,1474968,2238534,1.52,7642,3169,263,122
2/20/2021,1451931,2178009,1.5,7822,3225,262,133
2/21/2021,1488539,2260174,1.52,7846,3291,281,143
2/22/2021,1442202,2191668,1.52,7790,3110,282,136
2/23/2021,1395267,2111401,1.51,7842,3127,303,133
2/24/2021,1270352,1861627,1.47,7731,3050,265,121
2/25/2021,1354913,2054463,1.52,7841,3572,271,129
2/26/2021,1402526,2112877,1.51,7836,3349,248,128
2/27/2021,1438876,2154629,1.5,7730,3418,243,120
2/28/2021,1500570,2308946,1.54,7777,3575,300,156
3/1/2021,1537429,2340018,1.52,7667,3746,310,154
3/2/2021,1475995,2271230,1.54,7688,3510,272,127
3/3/2021,1461983,2232081,1.53,7677,3427,264,124
3/4/2021,1472664,2240664,1.52,7839,3233,339,175
3/5/2021,1444661,2282644,1.58,8037,3381,59,29
3/6/2021,1474151,2263201,1.54,7999,3637,203,99
3/7/2021,1538929,2324069,1.51,7934,3610,233,119
3/8/2021,1507969,2304996,1.53,7857,3339,235,126
3/9/2021,1474196,2233293,1.51,7889,3247,221,113
3/10/2021,1425963,2223636,1.56,7955,3181,210,120
3/11/2021,1396587,2117699,1.52,7791,3123,175,95
3/12/2021,1343265,2049326,1.53,7740,2920,172,94
3/13/2021,1358819,2057364,1.51,7660,2826,170,96
3/14/2021,1391714,2127126,1.53,7565,2816,208,97
3/15/2021,1444468,2211441,1.53,8080,3064,274,126
3/16/2021,1260332,1856587,1.47,6932,2663,199,84
3/17/2021,1193608,1765578,1.48,6350,2464,190,87
3/18/2021,1091743,1570129,1.44,5726,2335,175,83
3/19/2021,1002920,1390928,1.39,5145,2055,150,71
3/20/2021,1001147,1421054,1.42,5088,2107,144,77
3/21/2021,1046699,1506096,1.44,5138,2211,178,84
3/22/2021,1035178,1476475,1.43,5036,2112,152,76
3/23/2021,1000038,1397263,1.4,5073,2097,152,70
3/24/2021,993860,1394723,1.4,5136,2042,146,64
3/25/2021,967141,1362507,1.41,5099,2092,150,65
3/26/2021,938708,1318733,1.4,5138,1974,154,80
3/27/2021,935637,1325082,1.42,5121,1998,125,55
3/28/2021,1003679,1421258,1.42,5138,2140,166,82
3/29/2021,986017,1373948,1.39,5020,1937,149,80
3/30/2021,984229,1426974,1.45,5431,1968,142,63
3/31/2021,1071417,1556497,1.45,5855,2295,170,78
4/1/2021,1115880,1587947,1.42,5335,2290,175,76
4/2/2021,888736,1288206,1.45,4295,1828,144,67
4/3/2021,923041,1308807,1.42,4270,1880,146,66
4/4/2021,997532,1436609,1.44,4402,2072,179,88
4/5/2021,907383,1298166,1.43,3809,1741,161,85
4/6/2021,846756,1201620,1.42,3591,1556,149,70
4/7/2021,839979,1181472,1.41,3725,1525,138,67
4/8/2021,888705,1240082,1.4,4254,1665,136,57
4/9/2021,931534,1284974,1.38,4398,1624,176,78
4/10/2021,938659,1317117,1.4,4389,1673,167,73
